PPGDP rank,Country,PPGDP,,,,,,
182,"Saint Helena, Ascension, and Tristan da Cunha",2500.00,,,,,,
76,Saint Kitts and Nevis,15800.00,,,,,,
96,Saint Lucia,12800.00,,,,,,
136,Saint Pierre and Miquelon,7000.00,,,,,,
104,Saint Vincent and the Grenadines,11600.00,,,,,,
141,Samoa,6000.00,,,,,,
34,San Marino,36200.00,,,,,,
186,Sao Tome and Principe,2300.00,,,,,,
55,Saudi Arabia,24500.00,,,,,,
193,Senegal,1900.00,,,,,,
107,Serbia,10800.00,,,,,,
54,Seychelles,25000.00,,,,,,
219,Sierra Leone,900.00,,,,,,
5,Singapore,60500.00,,,,,,
79,Sint Maarten,15400.00,,,,,,
58,Slovakia,23600.00,,,,,,
47,Slovenia,29000.00,,,,,,
170,Solomon Islands,3200.00,,,,,,
224,Somalia,600.00,,,,,,
106,South Africa,11100.00,,,,,,
43,Spain,31000.00,,,,,,
145,Sri Lanka,5700.00,,,,,,
175,Sudan,2800.00,,,,,,
113,Suriname,9600.00,,,,,,
149,Swaziland,5400.00,,,,,,
21,Sweden,40900.00,,,,,,
14,Switzerland,43900.00,,,,,,
152,Syria,5100.00,,,,,,
28,Taiwan,38200.00,,,,,,
190,Tajikistan,2100.00,,,,,,
200,Tanzania,1500.00,,,,,,
115,Thailand,9500.00,,,,,,
120,Timor-Leste,8800.00,,,,,,
217,Togo,900.00,,,,,,
215,Tokelau,1000.00,,,,,,
134,Tonga,7400.00,,,,,,
62,Trinidad and Tobago,20300.00,,,,,,
114,Tunisia,9600.00,,,,,,
87,Turkey,14700.00,,,,,,
128,Turkmenistan,7900.00,,,,,,
105,Turks and Caicos Islands,11500.00,,,,,,
168,Tuvalu,3400.00,,,,,,
205,Uganda,1300.00,,,,,,
135,Ukraine,7300.00,,,,,,
12,United Arab Emirates,48800.00,,,,,,
33,United Kingdom,36600.00,,,,,,
11,United States,49000.00,,,,,,
80,Uruguay,15300.00,,,,,,
169,Uzbekistan,3300.00,,,,,,
154,Vanuatu,5000.00,,,,,,
97,Venezuela,12700.00,,,,,,
166,Vietnam,3400.00,,,,,,
88,Virgin Islands,14500.00,,,,,,
164,Wallis and Futuna,3800.00,,,,,,
173,West Bank,2900.00,,,,,,
181,Western Sahara,2500.00,,,,,,
184,Yemen,2300.00,,,,,,
199,Zambia,1600.00,,,,,,
226,Zimbabwe,500.00,,,,,,
