"obrate","birth_fertility","population","ppgdp","pop_growth","ppimports","USborderpath","USimportpath","import_diff","export_diff","borders","border_diff","border_avg"
0.014830918,221.652,30419928,1000,2.22,300.8554129,10568,9.7,0.1376817034,0.109948996666667,6,0.0746275631666667,0.0894584811666667
0.215380711,18.3224,3002859,7800,0.28,1690.389059,9241,10,0.0908284266,0.103753807333333,3,0.0967935703333333,0.125
0.10950495,46.2592,37367226,7400,1.17,1182.587115,9811,4.6,0.07449835,0.0693608221428571,6,0.0813981763333333,0.139684338
0.236666667,12.5936,85082,37200,0.27,17324.46346,8130,31.2,0.136666667,0.136666667,2,0.074166667,0.1625
0.055532995,218.0544,18056072,6000,2.78,1204.0271,12019,9.6,0.122846023666667,0.13025,2,0.0353045685,0.0202284265
0.188421053,33.1895,89018,18200,1.28,4913.612977,5000,13.2,0.115526315666667,0.141980271,0,0.119612706765532,0.183025773143829
0.375102041,39.7086,42192494,17700,1,1676.364521,8604,10.4,0.223102041,0.200602041,5,0.1659702474,0.2091317936
0.162780749,17.802,2970495,5500,0.11,1179.264735,9619,10.7,0.0514839451428571,0.0558871433,4,0.026345212,0.1555553665
0.164,21.7356,22015576,40800,1.13,11055.80885,7000,10.4,0.1146,0.136,0,0.119356902752817,0.244280953909685
0.11,12.2529,8219743,42400,0.03,22299.96729,8694,9.9,0.01851262625,0.0295,7,0.0342857142857143,0.132857142857143
0.201020408,33.216,9493600,10300,1.02,1071.247999,9342,12.7,0.0740778707142857,0.0953469386666667,5,0.0518158834,0.1647963614
0.29,31.581,316182,31400,0.9,9026.446793,5000,10.9,0.183166666666667,0.129782752833333,0,0.121618537974358,0.239157338738372
0.282340426,26.8026,1248348,27900,2.65,9700.820605,10165,10.5,0.174574468285714,0.159123303333333,0,0.120591509469599,0.179687499743258
0,57.4515,161083804,1700,1.58,197.1023729,11343,14.2,0.0706666666666667,0.169341750833333,2,0.065,0.065
0.400412371,20.5464,287733,23700,0.35,5386.938585,5000,12.9,0.1573226275,0.149905079125,0,0.122648101624846,0.214231784457272
0.245561497,14.1085,9643566,15200,-0.36,4373.900692,9345,11.3,0.11243246475,0.0886481702,5,0.0640582712,0.1815032258
0.108,16.5495,10438353,38200,0.06,34018.77672,8294,5.3,0.0785786435714286,0.068010101,4,0.03781313125,0.14581313125
0.149405941,81.963,327719,8400,2.01,2361.474312,3391,11.8,0.1301210965,0.125778325,2,0.1121838025,0.2615897435
0.06950495,196.011,9598787,1500,2.88,230.5499643,11033,6.7,0.101505093571429,0.0333382833333333,4,0.0369291925,0.0325757575
0.117169811,39.9375,716896,6200,1.18,1176.321252,10962,16.3,0.0905031443333333,0.107169811,2,0.092669811,0.0245
0.295527638,71.0232,10290003,4900,1.66,739.8442935,8530,10.1,0.1305262195,0.161359552833333,5,0.1258558028,0.2015015964
0.217,11.0236,3879296,8200,0,2851.032765,9385,15,0.0642857142857143,0.0774,1,0.00600000000000001,0.223
0.125,54.1692,2098018,16200,1.48,2960.413114,14722,15.5,0.046069374,0.102104061,3,0.076250423,0.138221658333333
0.111,31.8136,199321413,11900,1.1,1101.738126,7343,12.4,0.1342204082,0.1470381365,10,0.1053419546,0.2163419546
0.3,32.819,408786,50000,1.69,6384.758774,13146,13.6,0.226333333333333,0.25,1,0.137,0.163
0.124,13.156,7037935,13800,-0.8,4384.808896,9238,11.3,0.0507142857142857,0.0382857142857143,4,0.0505,0.1555
0.015,262.224,17275115,1500,3.07,134.7024318,11339,9.5,0.0653281806,0.0723333333333333,6,0.028249898,0.043249898
0.11,42.6153,54584650,1300,1.07,109.5912496,11150,13,0.0606666666666667,0.0705,5,0.0822,0.0278
0.010204082,246.7264,10557259,600,3.1,50.51500584,13161,6.3,0.106709750444444,0.122447790428571,2,0.014950557,0.025154639
0.004897959,69.9726,14952665,2200,1.69,465.6694977,11456,16.1,0.040352041,0.142102041,3,0.0267687076666667,0.0316666666666667
0.12,132.8841,20129878,2300,2.08,303.4295588,12148,4.2,0.0797142857142857,0.060338945,7,0.0679427922857143,0.0550586508571429
0.231,16.3452,34300083,41100,0.78,13440.20071,8893,16.1,0.105,0.108,1,0.108,0.339
0.106875,51.7524,523568,4000,1.43,1872.727134,10584,12,0.037835101,0.042125,0,0.121120999105275,0.236212368471777
0.010152284,165.1141,5057208,800,2.14,75.16004879,11351,9.3,0.10136034225,0.0656055114285714,3,0.0514896736666667,0.0616419576666667
0.020050251,190.791,10975648,1900,1.98,319.9811073,11848,4,0.154699749,0.158949749,6,0.066603806,0.0833379843333333
0.219,26.7036,17067369,17400,0.88,4155.29775,7670,9.9,0.1328204082,0.147824915833333,3,0.096209893,0.277876559666667
0.029,19.0805,1343239923,8500,0.48,1297.608841,10492,6.8,0.11,0.083,14,0.0599106164285714,0.0756007475714286
0.137,36.5276,45239079,10400,1.13,1209.131601,5699,17.2,0.10875,0.104,5,0.0538811882,0.1796811882
0.059800995,128.7941,737284,1200,2.06,298.2568454,13548,9.7,0.100406148833333,0.064929504,0,0.117880856381357,0.201854089969476
0.01,188.5845,73599190,400,2.58,122.5692837,12446,13.6,0.0914583031428571,0.1115,0,0.117622124887258,0.255588687461247
0.03,224.1031,4366266,4600,2.85,1126.133864,12446,5.8,0.101333333333333,0.124578643571429,0,0.123766967647523,0.263494711275721
0.2391133,31.488,4636348,12100,1.29,3349.61914,5144,13,0.13030665,0.10679402375,2,0.0634283425,0.2228342835
0.029411765,116.128,21952093,1600,2.04,360.7856435,11524,12.4,0.056517647,0.134848504625,5,0.0253896646,0.0490367236
0.223,13.7808,4480043,18400,-0.09,4553.527723,9177,13.9,0.102666666666667,0.0822,3,0.0416666666666667,0.181333333333333
0.118,14.442,11075244,9900,-0.12,1197.264819,5000,16.6,0.0918,0.091810101,0,0.117452367290854,0.222891556739384
0.123,16.588,1138071,29400,1.57,7059.313523,9336,10.5,0.060631313125,0.054,0,0.120189225885272,0.198182221767908
0.151,10.9474,10177300,27400,-0.13,13087.95064,8982,11.6,0.0481356421428571,0.0285,4,0.025,0.1405
0.114,17.7828,5543453,37600,0.24,18418.12314,8352,11.2,0.0406750841666667,0.0543417508333333,1,0.015,0.129
0.045,65.5133,774389,2700,2.29,534.2276298,11890,4.2,0.113633841857143,0.0943411226666667,3,0.0272996633333333,0.0177003366666667
0.395,32.136,73126,14000,0.22,2832.098023,5000,12.5,0.2285282052,0.1946959606,0,0.11668521694243,0.226677066231766
0.249303483,46.8504,10088598,9400,1.31,1726.701768,5000,12.5,0.101,0.1139949495,1,0.138293382,0.111010101
0.135,46.648,15223680,8600,1.42,1525.912263,6289,12.5,0.0702008487142857,0.1067343235,2,0.015,0.15
0.303,71.2068,83688164,6600,1.92,644.8940617,10388,10.7,0.128428571428571,0.142857142857143,3,0.128374792666667,0.174625207333333
0.148201058,35.5776,6090646,7600,0.3,1600.815414,3860,12,0.13419434275,0.104048211,2,0.0860897435,0.2010897435
0.130505051,168.4704,685991,19600,2.61,10673.60942,12337,13.1,0.0845980391666667,0.0729959597,2,0.015505051,0.115
0.033,140.277,6086495,700,2.42,147.8683544,11781,12.8,0.116023124666667,0.1347751244,3,0.0189585406666667,0.0299585406666667
0.144,15.0192,1274709,20600,-0.65,13406.98151,9348,11.5,0.0382857142857143,0.0355,2,0.054,0.198
0,229.5601,91195675,1100,3.18,90.46481645,11945,7.6,0.186,0.1765,5,0.0305953264,0.0305953264
0.239,53.406,890057,4700,0.77,1979.648494,7000,15.7,0.12025,0.1951818182,0,0.116765621481836,0.257882636813117
0.157,17.9228,5262930,36700,0.07,15276.66148,9981,10.6,0.061589899,0.061589899,3,0.059,0.153333333333333
0.169,26.4576,65630692,35600,0.5,10490.51867,8073,8.9,0.060992785,0.0664915825,7,0.0497806638571429,0.138552669571429
0.11,159.6,1608321,16400,1.98,1985.921965,12446,6.3,0.0762,0.0903333333333333,3,0.0336006936666667,0.096736007
0.04,136.981,1840454,2000,2.34,177.6735523,10584,11.2,0.03312626275,0.0533333333333333,0,0.120465267949551,0.212818581653112
0.118201058,15.695,4570934,5600,-0.33,1544.104553,9603,12.5,0.0606220508333333,0.0685505165,4,0.07299923125,0.19120028925
0.129,11.7453,81305856,38400,-0.2,14734.48604,8284,5.7,0.0633277216666667,0.058993686875,9,0.0277946127777778,0.133250280555556
0.054926108,112.0085,24652402,3100,1.79,621.4404584,11888,7.8,0.0888749138571429,0.1092544362,3,0.026687843,0.028238265
0.225,12.6212,10767827,26600,0.06,6133.085162,9336,11.4,0.093368686875,0.1105,4,0.06240482225,0.16259517775
0.175,36.1415,109011,14100,0.54,2608.911027,5000,19,0.176679487,0.101268585,0,0.12329185814783,0.265952716249363
0.287179487,84.2064,14099032,5100,1.95,1177.385795,3657,15,0.125039479,0.103539479,4,0.12502773725,0.16215174975
0.03970297,184.464,10884958,1100,2.64,161.7828934,10914,5.4,0.131782511666667,0.136162288625,7,0.024804119,0.0574091861428571
0.025151515,154.1568,1628603,1200,1.97,201.1539952,10922,11.4,0.0553501686666667,0.0133838383333333,2,0.0299524955,0.0551040105
