country1,country2,obes_diff
Costa Rica,Mexico,0.0031133
Costa Rica,United States,0.0998867
Cote d'Ivoire,China,0.000411765
Cote d'Ivoire,Colombia,0.107588235
Cote d'Ivoire,France,0.139588235
Cote d'Ivoire,Niger,0.009411765
Cote d'Ivoire,Nigeria,0.025588235
Croatia,Austria,0.113
Croatia,China,0.194
Croatia,Germany,0.094
Croatia,Italy,0.125
Croatia,Russia,0.017
Croatia,Slovenia,0.073
Cuba,Brazil,0.007
Cuba,Canada,0.113
Cuba,China,0.089
Cuba,Spain,0.038
Cuba,Venezuela,0.212
Cyprus,China,0.094
Cyprus,France,0.046
Cyprus,Germany,0.006
Cyprus,Greece,0.102
Cyprus,Israel,0.106
Cyprus,Italy,0.025
Cyprus,Netherlands,0.002050505
Cyprus,United Kingdom,0.104
Czech Republic,Austria,0.041
Czech Republic,China,0.122
Czech Republic,Germany,0.022
Czech Republic,Netherlands,0.025949495
Czech Republic,Poland,0.029
Czech Republic,Russia,0.089
Czech Republic,Slovakia,0.008
Denmark,China,0.085
Denmark,Germany,0.015
Denmark,Netherlands,0.011050505
Denmark,Norway,0.014
Denmark,Sweden,0.006
Denmark,United Kingdom,0.113
Djibouti,China,0.016
Djibouti,India,0.025
Djibouti,Indonesia,0.021
Djibouti,Malaysia,0.118
Djibouti,Pakistan,0.010436893
Djibouti,Saudi Arabia,0.311
Djibouti,United States,0.294
Dominica,China,0.366
Dominica,Japan,0.364
Dominica,Singapore,0.326
Dominica,Trinidad and Tobago,0.030641026
Dominica,United States,0.056
Dominican Republic,China,0.220303483
Dominican Republic,Mexico,0.013303483
Dominican Republic,United States,0.089696517
Dominican Republic,Venezuela,0.080696517
Ecuador,Brazil,0.024
Ecuador,China,0.106
Ecuador,Colombia,0.002
Ecuador,South Korea,0.103
Ecuador,Panama,0.024405941
Ecuador,Peru,0.028
Ecuador,United States,0.204
Egypt,China,0.274
Egypt,Germany,0.174
Egypt,Italy,0.205
Egypt,Kuwait,0.015
Egypt,Saudi Arabia,0.053
Egypt,Turkey,0.142
Egypt,United States,0.036
El Salvador,China,0.119201058
El Salvador,Guatemala,0.138978429
El Salvador,Mexico,0.087798942
El Salvador,United States,0.190798942
Equatorial Guinea,China,0.101505051
Equatorial Guinea,Cote d'Ivoire,0.101093286
Equatorial Guinea,France,0.038494949
Equatorial Guinea,Italy,0.032505051
Equatorial Guinea,Spain,0.025494949
Equatorial Guinea,United States,0.208494949
Eritrea,Brazil,0.078
Eritrea,China,0.004
Eritrea,Egypt,0.27
Eritrea,Germany,0.096
Eritrea,India,0.013
Eritrea,Italy,0.065
Eritrea,South Korea,0.001
Eritrea,Saudi Arabia,0.323
Eritrea,South Africa,0.194208122
Estonia,China,0.115
Estonia,Finland,0.013
Estonia,Germany,0.015
Estonia,Latvia,0.012
Estonia,Lithuania,0.053
Estonia,Poland,0.036
Estonia,Sweden,0.024
Ethiopia,China,0.029
Ethiopia,India,0.02
Ethiopia,Saudi Arabia,0.356
Ethiopia,United States,0.339
Fiji,Australia,0.075
Fiji,China,0.21
Fiji,New Zealand,0.026
Fiji,Singapore,0.17
Finland,China,0.128
Finland,Germany,0.028
Finland,Netherlands,0.031949495
Finland,Russia,0.083
Finland,Sweden,0.037
France,Belgium,0.061
France,China,0.14
France,Germany,0.04
France,Italy,0.071
France,Netherlands,0.043949495
France,Spain,0.013
France,United Kingdom,0.058
Gabon,Belgium,0.002
Gabon,Cameroon,0.01
Gabon,China,0.081
Gabon,France,0.059
Gabon,United States,0.229
The Gambia,Brazil,0.071
The Gambia,China,0.011
The Gambia,India,0.02
The Gambia,Senegal,0.030505051
Georgia,Azerbaijan,0.08281935
Georgia,China,0.089201058
Georgia,Germany,0.010798942
Georgia,Russia,0.121798942
Georgia,Turkey,0.042798942
Georgia,Ukraine,0.016315071
Germany,Austria,0.019
Germany,Belgium,0.021
Germany,China,0.1
Germany,France,0.04
Germany,Italy,0.031
Germany,Netherlands,0.003949495
Germany,Switzerland,0.047
Germany,United Kingdom,0.098
Germany,United States,0.21
Ghana,China,0.025926108
Ghana,India,0.034926108
Ghana,Netherlands,0.070124397
Ghana,Niger,0.034926108
Ghana,Nigeria,7.39E-05
Ghana,United Kingdom,0.172073892
Ghana,United States,0.284073892
Greece,China,0.196
Greece,Czech Republic,0.074
Greece,France,0.056
Greece,Germany,0.096
Greece,Iran,0.083
Greece,Italy,0.127
Greece,Netherlands,0.099949495
Greece,Russia,0.015
Grenada,Trinidad and Tobago,0.189358974
Grenada,United States,0.164
Guatemala,China,0.258179487
Guatemala,El Salvador,0.138978429
Guatemala,Mexico,0.051179487
Guatemala,United States,0.051820513
Guinea,China,0.01070297
Guinea,Netherlands,0.085347535
Guinea,United States,0.29929703
Guinea-Bissau,China,0.003848485
Guinea-Bissau,Portugal,0.116848485
Guinea-Bissau,Senegal,0.045353536
Guyana,China,0.104658537
Guyana,Cuba,0.015658537
Guyana,South Africa,0.093549585
Guyana,Trinidad and Tobago,0.230700437
Guyana,United States,0.205341463
Haiti,China,0.082010101
Haiti,Dominica,0.283989899
Haiti,Dominican Republic,0.138293382
Haiti,Netherlands,0.014040404
Haiti,United States,0.227989899
Honduras,China,0.086
Honduras,Costa Rica,0.1241133
Honduras,El Salvador,0.033201058
Honduras,Guatemala,0.172179487
Honduras,Mexico,0.121
Honduras,United States,0.224
Hungary,Austria,0.067
Hungary,China,0.148
Hungary,Germany,0.048
Hungary,Italy,0.079
Hungary,Netherlands,0.051949495
Hungary,Poland,0.003
Hungary,Russia,0.063
Hungary,Slovakia,0.034
Iceland,Brazil,0.013
Iceland,China,0.095
Iceland,Denmark,0.01
Iceland,Germany,0.005
Iceland,Netherlands,0.001050505
Iceland,Norway,0.024
Iceland,United Kingdom,0.103
Iceland,United States,0.215
India,China,0.009
India,Saudi Arabia,0.336
India,Switzerland,0.062
India,United Arab Emirates,0.317
India,United States,0.319
Indonesia,China,0.005
Indonesia,Japan,0.007
Indonesia,South Korea,0.008
Indonesia,Malaysia,0.139
Indonesia,Singapore,0.045
Indonesia,Thailand,0.054
Indonesia,United States,0.315
Iran,China,0.113
Iran,Germany,0.013
Iran,South Korea,0.11
Iran,Turkey,0.019
Iran,United Arab Emirates,0.195
Iraq,China,0.105455446
Iraq,South Korea,0.102455446
Iraq,Syria,0.115544554
Iraq,Turkey,0.026544554
Iraq,United States,0.204544554
Ireland,Germany,0.001
Ireland,Netherlands,0.004949495
Ireland,United Kingdom,0.097
Ireland,United States,0.209
Israel,Belgium,0.121
Israel,China,0.2
Israel,Germany,0.1
Israel,Italy,0.131
Israel,Switzerland,0.147
Israel,United States,0.11
Italy,China,0.069
Italy,France,0.071
Italy,Germany,0.031
Italy,Netherlands,0.027050505
Italy,Spain,0.058
Jamaica,China,0.255081633
Jamaica,Mexico,0.048081633
Jamaica,Trinidad and Tobago,0.080277341
Jamaica,United States,0.054918367
Jamaica,Venezuela,0.045918367
Japan,Australia,0.133
Japan,China,0.002
Japan,South Korea,0.001
Japan,Saudi Arabia,0.325
Japan,United Arab Emirates,0.306
Japan,United States,0.308
Jordan,China,0.166
Jordan,Germany,0.066
Jordan,Italy,0.097
Jordan,Saudi Arabia,0.161
Jordan,United States,0.144
Kazakhstan,China,0.066706806
Kazakhstan,Germany,0.033293194
Kazakhstan,Russia,0.144293194
Kazakhstan,Ukraine,0.038809323
