country1,country2,obes_diff
Ukraine,Belarus,0.111045368
Ukraine,China,0.105516129
Ukraine,Germany,0.005516129
Ukraine,Poland,0.045483871
Ukraine,Russia,0.105483871
United Arab Emirates,China,0.308
United Arab Emirates,Germany,0.208
United Arab Emirates,India,0.317
United Arab Emirates,United States,0.002
United Kingdom,Belgium,0.119
United Kingdom,China,0.198
United Kingdom,France,0.058
United Kingdom,Germany,0.098
United Kingdom,Netherlands,0.101949495
United Kingdom,Norway,0.127
United Kingdom,United States,0.112
United States,Canada,0.108
United States,China,0.31
United States,Germany,0.21
United States,Japan,0.308
United States,Mexico,0.103
Uruguay,Argentina,0.094376652
Uruguay,Brazil,0.169725389
Uruguay,China,0.251725389
Uruguay,Paraguay,0.141319448
Uruguay,United States,0.058274611
Uruguay,Venezuela,0.049274611
Uzbekistan,China,0.096276382
Uzbekistan,Germany,0.003723618
Uzbekistan,Kazakhstan,0.029569576
Uzbekistan,South Korea,0.093276382
Uzbekistan,Russia,0.114723618
Vanuatu,Australia,0.069529412
Vanuatu,China,0.204529412
Vanuatu,Fiji,0.005470588
Vanuatu,Japan,0.202529412
Vanuatu,New Zealand,0.031470588
Vanuatu,Singapore,0.164529412
Venezuela,Brazil,0.219
Venezuela,China,0.301
Venezuela,United States,0.009
Vietnam,China,0.024
Vietnam,Japan,0.026
Vietnam,South Korea,0.027
Vietnam,Singapore,0.064
Vietnam,Taiwan,0.005
Vietnam,Thailand,0.073
Yemen,China,0.01080198
Yemen,France,0.12919802
Yemen,India,0.01980198
Yemen,Kuwait,0.24819802
Yemen,Saudi Arabia,0.31619802
Yemen,United Arab Emirates,0.29719802
Yemen,United States,0.29919802
Zambia,China,0.019
Zambia,Democratic Republic of the Congo,0
Zambia,Republic of the Congo,0.02
Zambia,Kuwait,0.278
Zambia,South Africa,0.217208122
Zimbabwe,China,0.128
Zimbabwe,South Africa,0.070208122
