,Country,Male obesity,,,,,,
40,Bangladesh,0.00,,,,,,
40,Burundi,0.00,,,,,,
40,Central African Republic,0.00,,,,,,
40,Congo (Dem. Republic of),0.00,,,,,,
40,Cote d'Ivoire,0.00,,,,,,
40,Eritrea,0.00,,,,,,
40,Ethiopia,0.00,,,,,,
40,Indonesia,0.00,,,,,,
40,Kenya,0.00,,,,,,
40,Mozambique,0.00,,,,,,
40,Namibia,0.00,,,,,,
40,Nepal,0.00,,,,,,
40,Rwanda,0.00,,,,,,
40,Sri Lanka,0.00,,,,,,
40,Uganda,0.00,,,,,,
40,Viet Nam,0.00,,,,,,
40,Zambia,0.00,,,,,,
41,American Samoa,(NA),,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
